latest.student.size,tuition_in_state,latest.cost.tuition.out_of_state,median_debt,latest.aid.median_debt.noncompleters,latest.repayment.3_yr_repayment.overall,earnings_10yr,earnings_6yr,completion_rate,latest.academics.program_percentage.business_marketing,latest.academics.program_percentage.computer,latest.academics.program_percentage.health,latest.academics.program_percentage.social_science,latest.academics.program_percentage.humanities,school_name,state,school.school_url,school.institutional_characteristics.level,debt_to_earnings_ratio
25538,13373.0,34783.0,20000.0,8250.0,7699.0,60543.0,49748.0,0.6651,0.1491,0.0419,0.0015,0.0714,0.0512,Colorado State University-Fort Collins,CO,colostate.edu/,1,0.4020262121090295
25367,10787.0,28881.0,22869.0,8250.0,9232.0,63386.0,53873.0,0.7532,0.1715,0.0455,0.0147,0.0173,0.0131,Iowa State University,IA,https://www.iastate.edu/,1,0.4244983572476008
25042,7780.0,20380.0,16000.0,8669.0,5689.0,71902.0,54466.0,0.6843,0.2584,0.0551,0.0,0.0824,0.0237,California State Polytechnic University-Pomona,CA,www.cpp.edu/,1,0.2937612455476811
24763,13502.0,34140.0,22500.0,7500.0,6505.0,59025.0,47266.0,0.7142,0.2243,0.0383,0.1344,0.0349,0.0131,University of Kentucky,KY,www.uky.edu/,1,0.47602928109000126
24622,9748.0,27411.0,19450.0,8742.0,6815.0,55037.0,42865.0,0.5051,0.2174,0.0486,0.0743,0.0548,0.0018,University of Nevada-Las Vegas,NV,www.unlv.edu/,1,0.4537501458066021
24453,7239.0,22492.0,21500.0,8500.0,8973.0,57289.0,48812.0,0.6897,0.189,0.1315,0.0852,0.0596,0.0,University of North Carolina at Charlotte,NC,https://www.charlotte.edu/,1,0.4404654593132836
23929,14837.0,36056.0,20500.0,7500.0,8913.0,63403.0,52756.0,0.7494,0.1786,0.0534,0.1114,0.0569,0.0,University of Missouri-Columbia,MO,https://missouri.edu/,1,0.3885813935855637
23757,4879.0,17324.0,17236.0,7500.0,8633.0,56746.0,45647.0,0.6257,0.2223,0.0365,0.1138,0.0445,0.0536,Florida Atlantic University,FL,www.fau.edu/,1,0.37759327009442023
23671,17772.0,40449.0,22763.0,17112.0,8932.0,71631.0,60347.0,0.8326,0.1609,0.0698,0.0497,0.1002,0.0096,University of Massachusetts-Amherst,MA,www.umass.edu/,1,0.3772018493048536
23300,15554.0,40866.0,21500.0,8750.0,4606.0,71513.0,58311.0,0.8656,0.2477,0.0354,0.0726,0.0785,0.0,Clemson University,SC,www.clemson.edu/,1,0.3687125928212516
23113,16414.0,50614.0,13993.0,7500.0,5962.0,74915.0,56852.0,0.8303,0.0061,0.0261,0.0,0.2664,0.0,University of California-Santa Barbara,CA,www.ucsb.edu/,1,0.24613030324350946
22903,13009.0,29881.0,19000.0,8250.0,9889.0,54384.0,47308.0,0.6132,0.1769,0.018,0.1459,0.0556,0.0619,Northern Arizona University,AZ,https://nau.edu/,1,0.40162340407542063
22734,9797.0,27377.0,20654.0,9500.0,6682.0,63126.0,52216.0,0.7533,0.2533,0.0375,0.0222,0.0611,0.0453,University of Oklahoma-Norman Campus,OK,https://www.ou.edu/,1,0.3955492569327409
22593,15606.0,49806.0,17500.0,8102.0,6760.0,67699.0,48593.0,0.7596,0.151,0.0715,0.0,0.1708,0.0154,University of California-Riverside,CA,www.ucr.edu/,1,0.36013417570431955
22264,11283.0,33371.0,22500.0,8750.0,7498.0,64762.0,52696.0,0.7463,0.2395,0.0204,0.0901,0.0645,0.04,University of Iowa,IA,https://uiowa.edu/,1,0.4269773796872628
22170,14338.0,29884.0,16704.0,6500.0,6503.0,68740.0,53218.0,0.6162,0.1774,0.0986,0.1473,0.0402,0.001,University of Illinois Chicago,IL,www.uic.edu/,1,0.3138787628246082
21996,13596.0,34665.0,18500.0,9166.0,4377.0,90768.0,72358.0,0.864,0.1751,0.0439,0.0104,0.0491,0.0201,California Polytechnic State University-San Luis Obispo,CA,calpoly.edu/,1,0.25567318057436633
21790,6022.0,17734.0,23250.0,8982.0,7692.0,53236.0,44423.0,0.549,0.1804,0.0533,0.1691,0.0612,0.0459,Georgia Southern University,GA,www.georgiasouthern.edu/,1,0.5233775296580601
21773,10234.0,25754.0,20500.0,8250.0,5995.0,57413.0,46855.0,0.6817,0.282,0.033,0.0305,0.0228,0.0504,Oklahoma State University-Main Campus,OK,www.okstate.edu/,1,0.43752000853697576
21751,14644.0,40144.0,18000.0,7500.0,4226.0,68227.0,57249.0,0.7569,0.1922,0.243,0.0734,0.0404,0.0,The University of Texas at Dallas,TX,www.utdallas.edu/,1,0.31441597233139446
21605,7350.0,19950.0,14505.0,8250.0,5879.0,61244.0,44012.0,0.5696,0.1372,0.0134,0.0731,0.1244,0.0932,California State University-Fresno,CA,www.fresnostate.edu/,1,0.3295692083977097
21473,9772.0,28600.0,20000.0,10490.0,5302.0,50994.0,45336.0,0.7174,0.2723,0.0129,0.1925,0.0378,0.0152,University of Mississippi,MS,www.olemiss.edu/,1,0.4411505205576143
21217,12102.0,30432.0,21000.0,10950.0,7029.0,61945.0,51217.0,0.6881,0.2113,0.0379,0.09,0.0375,0.0534,University of Kansas,KS,https://ku.edu/,1,0.41002011051018217
21099,13391.0,29950.0,19500.0,9500.0,9753.0,68905.0,53510.0,0.605,0.1909,0.0512,0.057,0.1044,0.0148,Washington State University,WA,https://wsu.edu/,1,0.364417865819473
21005,9744.0,25502.0,18000.0,8750.0,7907.0,50923.0,37978.0,0.5017,0.135,0.0438,0.135,0.0226,0.0,The University of Texas at El Paso,TX,https://www.utep.edu/,1,0.47395860761493497
20970,23011.0,38958.0,24395.0,10996.0,12947.0,63727.0,50860.0,0.7505,0.2065,0.0636,0.1048,0.0439,0.0038,Temple University,PA,www.temple.edu/,1,0.47965001966181675
20888,14250.0,31604.0,20093.0,8250.0,4576.0,69954.0,57438.0,0.7972,0.1385,0.0601,0.1827,0.0805,0.0285,James Madison University,VA,www.jmu.edu/index.shtml,1,0.3498206762073888
20753,16945.0,40109.0,21500.0,9500.0,8863.0,58128.0,47161.0,0.6318,0.1231,0.0613,0.0683,0.0506,0.0,Virginia Commonwealth University,VA,https://www.vcu.edu/,1,0.4558851593477662
20752,8994.0,41203.0,14000.0,7470.0,3647.0,72200.0,57057.0,0.9117,0.0946,0.0816,0.0644,0.14,0.0028,University of North Carolina at Chapel Hill,NC,https://www.unc.edu/,1,0.245368666421298
20497,16137.0,44598.0,20139.0,7667.0,6682.0,61324.0,46084.0,0.7169,0.1684,0.0182,0.0121,0.1805,0.0012,University of Oregon,OR,https://www.uoregon.edu/,1,0.43700633625553337
20443,72097.0,72097.0,18000.0,9927.0,4358.0,92498.0,74461.0,0.9183,0.2337,0.072,0.0231,0.0953,0.0,University of Southern California,CA,www.usc.edu/,1,0.24173728529028618
20370,21926.0,41430.0,24250.0,9500.0,10515.0,66125.0,54240.0,0.855,0.1125,0.0743,0.1088,0.0641,0.0072,University of Pittsburgh-Pittsburgh Campus,PA,www.pitt.edu/,1,0.44708702064896755
20152,11960.0,11960.0,31250.0,4961.0,80276.0,35404.0,33397.0,0.1068,0.4626,0.0372,0.1044,0.0204,0.0109,Ashford University,CA,www.uagc.edu/,1,0.935712788573824
20112,10936.0,31536.0,19000.0,7500.0,7135.0,70814.0,53742.0,0.7518,0.1655,0.0668,0.0809,0.1242,0.0,University at Buffalo,NY,https://www.buffalo.edu/,1,0.3535409921476685
19896,7361.0,23638.0,22750.0,9000.0,8243.0,55146.0,46420.0,0.6262,0.2222,0.0277,0.1595,0.0616,0.0478,East Carolina University,NC,https://www.ecu.edu/,1,0.49009047824213703
19835,21044.0,43712.0,21500.0,8750.0,7657.0,73997.0,63322.0,0.8329,0.1269,0.0488,0.1143,0.1203,0.0207,University of Connecticut,CT,https://uconn.edu/,1,0.3395344430055905
19633,14158.0,24838.0,21056.0,7750.0,15161.0,52581.0,48991.0,0.6545,0.1568,0.0111,0.28,0.0384,0.0334,Ohio University-Main Campus,OH,https://www.ohio.edu/,1,0.42979322732746833
19562,7160.0,19760.0,13000.0,8100.0,5699.0,59211.0,45702.0,0.5298,0.1642,0.0537,0.0857,0.083,0.0269,California State University-Los Angeles,CA,https://www.calstatela.edu/,1,0.2844514463262002
19444,7579.0,25212.0,20231.0,8050.0,5017.0,51836.0,43663.0,0.7453,0.2454,0.0228,0.0779,0.0528,0.0048,Appalachian State University,NC,https://www.appstate.edu/,1,0.4633442502805579
19320,13232.0,23082.0,24500.0,9000.0,19042.0,45388.0,40179.0,0.6372,0.2003,0.0259,0.1496,0.0294,0.02,Kent State University at Kent,OH,www.kent.edu/,1,0.6097712735508599
19178,10434.0,28584.0,21000.0,6750.0,6866.0,56887.0,47692.0,0.6697,0.2237,0.0286,0.0137,0.043,0.0005,University of Nebraska-Lincoln,NE,www.unl.edu/,1,0.44032542145433196
19071,16810.0,41400.0,24572.0,8250.0,5295.0,72950.0,58846.0,0.8055,0.2091,0.0284,0.1132,0.0734,0.0437,University of Delaware,DE,www.udel.edu/,1,0.4175644903646807
19057,16144.0,28210.0,20482.0,8000.0,7716.0,62117.0,50599.0,0.6454,0.2156,0.0547,0.0902,0.0441,0.0268,Illinois State University,IL,illinoisstate.edu/,1,0.4047906085100496
18854,15140.0,21548.0,24500.0,10915.0,9756.0,56118.0,47840.0,0.6701,0.2275,0.0366,0.1436,0.0431,0.0216,Grand Valley State University,MI,www.gvsu.edu/,1,0.512123745819398
18785,12058.0,34484.0,21672.0,19000.0,3207.0,102772.0,89432.0,0.9402,0.0857,0.2834,0.0,0.0144,0.0,Georgia Institute of Technology-Main Campus,GA,www.gatech.edu/,1,0.24232936756418283
18639,7950.0,20550.0,15371.0,9852.0,8468.0,68077.0,52650.0,0.5037,0.1901,0.0722,0.0726,0.0696,0.0093,San Francisco State University,CA,www.sfsu.edu/,1,0.29194681861348526
18397,10202.0,27637.0,22142.0,9081.0,5900.0,51513.0,43487.0,0.6667,0.1958,0.0254,0.0023,0.0288,0.0148,Mississippi State University,MS,https://www.msstate.edu/,1,0.509163658104721
18376,15912.0,26022.0,22000.0,8573.0,6189.0,61415.0,47944.0,0.6466,0.2089,0.0339,0.0499,0.042,0.0134,Montclair State University,NJ,www.montclair.edu/,1,0.45886868012681464
18364,14400.0,14400.0,14968.0,6414.0,9748.0,42189.0,48500.0,0.2,0.0829,0.0205,0.8101,0.0,0.0,Capella University,MN,www.capella.edu/,1,0.30861855670103094
18248,68102.0,68102.0,23250.0,12000.0,4714.0,83238.0,65655.0,0.8866,0.172,0.0808,0.0503,0.1386,0.0,Boston University,MA,www.bu.edu/,1,0.3541238291066941
18101,10931.0,32741.0,18228.0,8750.0,5598.0,74502.0,59492.0,0.7556,0.0993,0.0872,0.1538,0.0834,0.0002,Stony Brook University,NY,https://www.stonybrook.edu/,1,0.30639413702682716
17940,16005.0,50205.0,16666.0,9166.0,5527.0,68396.0,49716.0,0.7509,0.0653,0.1627,0.0041,0.102,0.0,University of California-Santa Cruz,CA,www.ucsc.edu/,1,0.33522407273312416
17743,9228.0,19068.0,21983.0,9500.0,6699.0,54211.0,45337.0,0.5476,0.1663,0.0143,0.1013,0.021,0.0101,Sam Houston State University,TX,www.shsu.edu/,1,0.48487989941989984
17674,9048.0,27788.0,20500.0,8250.0,8080.0,51658.0,45251.0,0.602,0.2113,0.0262,0.18,0.0303,0.0611,Boise State University,ID,https://www.boisestate.edu/,1,0.45302866235000333
17597,21803.0,59512.0,17500.0,7500.0,2725.0,86863.0,72359.0,0.956,0.0859,0.0767,0.0378,0.1193,0.1533,University of Virginia-Main Campus,VA,https://www.virginia.edu/,1,0.24184966624746057
